,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
8391,2018,2018-08-14,og,2799.0,,Rosella (subdariffa) petals (org),19.0,1.1,20.9
8504,2018,2018-08-14,og,2799.0,,Rosella (subdariffa) seed (org),15.0,0.5,7.5
8469,2018,2018-09-21,og,2799.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
9399,2020,2020-07-24,og,2799.0,,Rosella (subdariffa) petals (org),62.0,1.1,68.2
9418,2020,2020-07-24,og,2799.0,,Rosella (subdariffa) petals (org),16.4,1.1,18.04
9728,2021,2021-07-13,og,2799.0,,Rosella (subdariffa) petals (org),54.5,1.1,60.0
9960,2021,2021-10-10,og,2799.0,,Strophanthus (kombe) seed (con),99.0,10.5,1040.0
9973,2022,2022-08-07,og,2799.0,,Rosella (subdariffa) petals (org),48.0,1.1,44.0
10576,2022,2022-08-23,og,2799.0,,Rosella (subdariffa) petals (org),147.0,1.1,162.0
10286,2022,2022-12-07,og,2799.0,,Rosella (subdariffa) petals (org),240.0,1.1,249.0
9401,2020,2020-07-24,og,2800.0,,Rosella (subdariffa) petals (org),33.2,1.1,36.52
9729,2021,2021-07-13,og,2800.0,,Rosella (subdariffa) petals (org),68.7,1.1,72.0
9977,2022,2022-08-07,og,2800.0,,Rosella (subdariffa) petals (org),137.0,1.1,146.0
10582,2022,2022-08-23,og,2800.0,,Rosella (subdariffa) petals (org),99.0,1.1,109.0
9417,2020,2020-07-24,og,2801.0,,Rosella (subdariffa) petals (org),6.4,1.1,7.04
9731,2021,2021-07-13,og,2801.0,,Rosella (subdariffa) petals (org),22.3,1.1,21.0
9984,2022,2022-08-07,og,2801.0,,Rosella (subdariffa) petals (org),94.0,1.1,103.0
10288,2022,2022-12-07,og,2801.0,,Rosella (subdariffa) petals (org),101.0,1.1,111.0
6626,2016,2016-07-21,og,2802.0,,Rosella (subdariffa) petals (org),101.0,1.1,111.0
7221,2017,2017-06-20,og,2802.0,,Rosella (subdariffa) petals (org),23.73,1.1,26.1
7275,2017,2017-06-22,og,2802.0,,Rosella (subdariffa) seed (org),8.98,0.5,5.0
7721,2017,2017-07-08,og,2802.0,,Rosella (subdariffa) petals (org),13.14,1.1,14.0
7452,2017,2017-07-15,og,2802.0,,Rosella (subdariffa) petals (org),71.74,1.1,79.0
7484,2017,2017-07-15,og,2802.0,,Rosella (subdariffa) petals (org),85.42,1.1,94.0
7495,2017,2017-07-15,og,2802.0,,Rosella (subdariffa) seed (org),19.59,0.5,9.0
7518,2017,2017-07-15,og,2802.0,,Rosella (subdariffa) seed (org),43.34,0.5,22.0
8209,2018,2018-07-17,og,2802.0,,Rosella (subdariffa) petals (org),83.6,1.1,91.96
8434,2018,2018-09-21,og,2802.0,,Strophanthus (kombe) seed (con),8.0,10.5,84.0
8923,2019,2019-12-09,og,2802.0,,Rosella (subdariffa) petals (org),6.5,15.0,97.5
9149,2020,2020-07-23,og,2802.0,,Rosella (subdariffa) petals (org),57.1,1.1,61.01
9636,2021,2021-12-07,og,2802.0,,Rosella (subdariffa) petals (org),62.7,1.1,69.0
10022,2022,2022-08-07,og,2802.0,,Rosella (subdariffa) petals (org),155.0,1.1,171.0
10609,2022,2022-08-23,og,2802.0,,Rosella (subdariffa) petals (org),172.0,1.1,189.0
10281,2022,2022-12-07,og,2802.0,,Rosella (subdariffa) petals (org),109.0,1.1,120.0
9177,2020,2020-07-24,og,2813.0,,Rosella (subdariffa) petals (org),77.3,1.1,82.33
9772,2021,2021-07-14,og,2813.0,,Rosella (subdariffa) petals (org),34.0,1.1,37.0
10410,2022,2022-01-08,og,2813.0,,Rosella (subdariffa) petals (org),117.0,1.1,129.0
10493,2022,2022-08-24,og,2813.0,,Rosella (subdariffa) petals (org),100.0,1.1,110.0
