,date_updated,type,og_nr,wc_nr,total_area_(hectare),field_organic_status
7480,2018-10-17,og,12239.0,,5.1899999999999995,Con
7947,2018-10-17,og,12241.0,,6.17,Org
7951,2017-06-29,og,12247.0,,10.66,Con
7955,2017-06-29,og,12249.0,,9.56,Org
7495,2018-10-18,og,12250.0,,2.91,Con
7965,2018-11-12,og,12252.0,,5.73,Con
7968,2017-06-28,og,12253.0,,3.75,Org
7969,2018-10-18,og,12256.0,,3.12,Con
7513,2018-10-08,og,12257.0,,8.38,Con
7973,2017-06-29,og,12257.0,,0.02,Org
7519,2018-10-18,og,12260.0,,7.99,Org
7523,2017-06-28,og,12262.0,,8.44,Con
7529,2018-10-18,og,12263.0,,12.41,Con
7530,2017-06-27,og,12265.0,,5.09,Org
7533,2017-06-28,og,12266.0,,6.63,Con
7990,2018-10-18,og,12288.0,,3.8,Org
7539,2018-10-18,og,12289.0,,9.03,Con
7543,2017-06-28,og,12290.0,,5.765,Con
7546,2018-10-18,og,12429.0,,4.13,Con
8001,2018-10-18,og,12430.0,,9.13,Org
8003,2018-10-18,og,12431.0,,3.02,Con
7553,2018-10-18,og,12432.0,,9.38,Con
7559,2017-06-28,og,12433.0,,1.56,Con
7568,2018-10-18,og,12434.0,,8.47,Con
8012,2017-06-29,og,12435.0,,0.03,Con
7574,2018-10-18,og,12435.0,,6.5,Org
7576,2018-10-18,og,12440.0,,3.5,Con
8016,2018-11-07,og,12440.0,,0.11,Org
7583,2018-11-07,og,12441.0,,4.94,Con
8020,2018-11-08,og,12445.0,,3.28,Org
7592,2018-10-18,og,12446.0,,8.34,Org
8021,2016-10-05,og,12447.0,,0.16,Con
7597,2016-09-08,og,12447.0,,4.8,Con
8023,2018-10-18,og,12448.0,,11.02,Org
8056,2017-06-29,og,12452.0,,0.5,Org
7284,2018-10-18,og,12452.0,,2.15,Org
8028,2017-06-29,og,12453.0,,4.74,Con
7270,2017-06-29,og,12454.0,,4.99,Org
7296,2017-06-28,og,12939.0,,6.53,Org
1269,2017-10-14,og,13001.0,,1.5,Con
933,2017-09-19,og,13001.0,,4.1,Org
938,2017-09-19,og,13002.0,,3.5,Org
943,2017-09-19,og,13003.0,,7.0,Con
